Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
ENGINEER,90027,4121944605542,06/26,664,1
ENGINEER,26496,4813325639913961,05/28,120,0
DOCTOR,10372,3593942698048923,03/25,947,1
ENGINEER,26953,374021058407416,11/33,5079,0
LAWYER,57744,4664429488953795,10/28,000,1
DOCTOR,80642,30512511581041,01/29,323,0
DOCTOR,31370,4880174078938107,02/27,2905,1
ENGINEER,46728,6011222066157292,12/32,389,0
LAWYER,80677,180039440000560,03/32,607,0
ENGINEER,76416,3501619168661911,12/28,6079,1
ENGINEER,53387,4152012706465286,03/29,008,0
ENGINEER,1088,4802036676519131,09/34,451,1
ENGINEER,36883,376386216650027,08/26,429,0
LAWYER,8494,4603630405825081,01/32,312,1
ENGINEER,17597,4828610292682,02/32,907,0
LAWYER,48497,30522465797139,03/34,328,1
DOCTOR,9704,6011986968484802,03/25,503,0
DOCTOR,7181,213176129423852,05/34,628,0
DOCTOR,53764,630491294363,03/28,739,1
LAWYER,26375,4267458412849,02/26,994,0
ENGINEER,31476,213152337376901,06/27,381,0
LAWYER,57380,3560713080573979,02/31,086,1
DOCTOR,14757,3563823082653013,10/25,852,1
DOCTOR,81197,348391504636659,03/31,180,1
LAWYER,13497,4465810944041385,03/30,193,1
LAWYER,19204,4711633310713188932,05/30,3416,0
ENGINEER,46543,4526546698892711971,04/34,591,1
ENGINEER,95753,3532597970381261,01/33,701,0
DOCTOR,30115,36947763325990,03/33,3736,1
ENGINEER,22915,6011854656459017,06/25,958,0
DOCTOR,45906,4208390968214921,02/31,918,1
DOCTOR,55645,5124330088994224,04/26,268,0
DOCTOR,22511,4813177974195,06/26,988,1
DOCTOR,84240,4254963803250251,02/31,0101,0
ENGINEER,78289,4561583219526744,01/34,435,1
DOCTOR,52236,676377892564,01/33,737,0
DOCTOR,72426,4643525435122149278,08/25,627,1
LAWYER,71887,4137693376762,07/34,110,0
LAWYER,52054,4477806271660,10/27,854,0
ENGINEER,21481,3565463460332498,07/25,058,1
ENGINEER,45660,5127642381158423,12/26,0420,0
DOCTOR,10777,3565428691761807,04/29,397,0
LAWYER,17071,180099073476156,01/25,823,1
ENGINEER,69716,6567370375957593,04/26,1092,0
LAWYER,32226,30077042961682,07/29,808,0
DOCTOR,94507,4090621316061783,10/25,451,1
ENGINEER,97994,4091523393124790,04/30,172,0
ENGINEER,36667,3572579767980514,12/26,821,1
LAWYER,55791,3539934661765044,10/26,891,1
DOCTOR,11771,4104571212881504985,02/26,696,1
ENGINEER,2760,180069397356913,05/30,794,1
LAWYER,54373,6588697949332191,03/32,624,0
LAWYER,4622,6011673343661425,01/31,684,1
DOCTOR,56530,180032930390906,04/28,981,0
LAWYER,79089,372932267239402,03/26,025,0
DOCTOR,38147,569200930174,06/33,327,1
DOCTOR,28657,4438207237689240,07/31,484,1
LAWYER,13724,6011122993429808,04/33,841,0
ENGINEER,48878,3539544471718941,04/33,009,1
LAWYER,49531,36001784647865,08/31,165,1
LAWYER,966,630460813292,02/30,671,1
ENGINEER,76369,4541398309790430,10/25,879,0
DOCTOR,65156,213186085004109,12/31,406,0
DOCTOR,70325,4733339043577731,05/32,271,0
ENGINEER,16684,6546217357258753,06/33,245,0
DOCTOR,76281,2458623848776615,08/25,446,0
DOCTOR,7929,4047991017196541,05/31,186,1
ENGINEER,94994,4450697668902844989,11/24,081,0
DOCTOR,8015,377666928852303,03/32,239,1
ENGINEER,76149,3566442261829661,07/30,068,0
DOCTOR,90066,3572581802774910,12/29,6124,0
DOCTOR,1713,3586981324378220,07/34,938,0
LAWYER,91673,3574594498182775,09/30,089,1
ENGINEER,5044,4900782350715113882,08/28,4127,1
DOCTOR,15062,4299342860517422,12/29,908,1
LAWYER,43099,3573492402161616,04/33,867,1
LAWYER,13764,6528310552888763,06/28,385,1
LAWYER,69934,2720456296310047,11/28,221,1
DOCTOR,95730,3510522195046859,07/27,802,0
DOCTOR,61112,3554958282893877,06/25,876,1
ENGINEER,23457,4733735590552524,03/27,221,0
DOCTOR,63591,4843094547657433,07/32,9043,1
LAWYER,99728,5170516895788139,07/26,694,1
DOCTOR,60303,501891228964,09/32,897,0
DOCTOR,51273,342068980932341,03/25,829,0
DOCTOR,83792,4297548277878,06/27,676,1
DOCTOR,64905,3512873687795570,10/28,747,1
LAWYER,98375,340392243663549,06/31,981,0
ENGINEER,93862,568750525079,10/34,318,1
DOCTOR,58580,3531829306487681,02/29,779,0
LAWYER,53542,4984166771936151,10/27,935,0
DOCTOR,50674,4176583855826876,12/26,179,1
LAWYER,51020,5330762795677223,09/27,843,1
LAWYER,17534,30018328917287,09/26,698,0
DOCTOR,99151,675964045404,01/27,019,0
LAWYER,98581,4326636204962424235,08/25,677,1
DOCTOR,83211,4618189817763754616,11/27,844,1
DOCTOR,72227,4863174480852,12/29,933,0
ENGINEER,55878,4300834141756792,01/28,943,0
DOCTOR,98905,4808340961012,12/30,822,1
DOCTOR,15850,343257262760731,09/29,676,1
ENGINEER,87271,6507961716165020,12/30,631,1
ENGINEER,85199,4521587249682,07/30,205,1
DOCTOR,61090,4606235827334,01/25,073,1
ENGINEER,55965,4856569030043,07/34,149,1
DOCTOR,890,30054638400318,08/28,915,0
ENGINEER,75254,342742397480819,07/27,916,1
ENGINEER,7844,503881065232,12/24,989,1
ENGINEER,306,4369014560581264,01/31,712,1
ENGINEER,97953,30445495635097,04/27,649,0
LAWYER,15229,180081349692212,07/34,894,1
LAWYER,25463,2249906852340244,02/32,773,1
ENGINEER,57036,375253164610273,03/27,014,1
LAWYER,42515,3563367205300201,10/31,153,1
DOCTOR,56498,213126173192663,10/31,825,1
ENGINEER,11497,6011011040320302,10/29,534,1
DOCTOR,32427,6011097023993884,11/26,129,1
ENGINEER,1317,3570549712269976,11/33,399,1
ENGINEER,82829,38923628734500,07/31,140,1
LAWYER,75507,180041945729156,09/31,355,1
ENGINEER,12890,4202902079835679,10/26,488,0
DOCTOR,81227,30431588803214,06/34,630,1
LAWYER,24666,4220789051745,07/34,335,0
LAWYER,79391,5535688979374829,02/25,917,0
ENGINEER,85988,30041951660263,12/26,921,0
LAWYER,99114,4560010714144,02/29,948,1
ENGINEER,26615,180052192972316,10/25,3551,1
ENGINEER,57654,3514038248129630,09/29,522,1
LAWYER,39317,4793425876295,04/31,219,1
LAWYER,73581,5387658329176082,03/33,912,0
ENGINEER,80280,6011158832216311,10/32,802,0
DOCTOR,99885,3547291399276384,04/26,035,0
ENGINEER,17880,676170498270,04/34,305,1
DOCTOR,94660,4575121965572748601,11/29,3477,0
LAWYER,29859,213135180772243,04/27,0263,0
DOCTOR,71884,4434050227851840,09/34,854,0
DOCTOR,4073,376284992522934,09/30,0773,0
ENGINEER,69030,346892863165794,04/30,498,0
ENGINEER,69043,3507850975167222,03/30,389,0
DOCTOR,41667,6011922002647328,05/26,008,0
ENGINEER,53144,4893356222952820,11/28,221,1
DOCTOR,70651,6011377675502260,08/28,634,0
ENGINEER,30427,4346839132932169510,06/29,214,0
ENGINEER,13168,4275226738536,12/32,159,1
LAWYER,26186,3593811004157746,01/27,971,0
ENGINEER,84336,2703448668049668,05/33,492,0
LAWYER,82799,4660717910716562336,01/29,545,1
ENGINEER,28670,4575763340441401,04/31,057,1
LAWYER,33155,4726848499313309,04/29,8930,0
DOCTOR,10306,375826908868909,07/33,818,1
LAWYER,1472,30382573134968,09/26,430,0
DOCTOR,54591,3517200418802340,12/29,908,1
ENGINEER,45682,3591179761877043,06/27,907,0
DOCTOR,59224,3599571303012513,07/25,424,0
LAWYER,50793,4039379328232660,03/33,894,0
ENGINEER,88193,180064162026379,09/34,520,1
ENGINEER,35837,3542871354951116,01/32,042,0
ENGINEER,8830,4017706117686,01/33,585,1
DOCTOR,24130,3574362370777546,04/31,312,1
LAWYER,13829,213175334335653,10/30,128,1
ENGINEER,414,4777213017733,05/33,761,0
LAWYER,42875,630405419098,10/32,391,0
DOCTOR,35370,180001692468473,06/28,2108,0
ENGINEER,85465,6591717438546914,05/34,179,1
ENGINEER,31742,348300201716953,10/25,232,1
DOCTOR,38551,3522946937237060,10/26,170,1
LAWYER,95796,4905958828462272,04/33,500,0
ENGINEER,73154,5335462944872602,01/34,499,1
DOCTOR,57640,576783453540,11/30,328,0
ENGINEER,68569,4162390752678038603,12/33,461,1
DOCTOR,28063,577650840314,05/31,968,0
LAWYER,66246,4057360400274666538,08/34,279,0
DOCTOR,71781,6542736223707028,08/26,865,0
ENGINEER,21966,180025826895483,08/33,340,0
DOCTOR,22065,4755588232585276,11/24,778,1
DOCTOR,8873,6011041999486804,05/32,661,1
DOCTOR,79335,30181331770851,10/26,230,1
ENGINEER,10647,4572976586127228,12/25,640,0
LAWYER,85154,213158337457930,11/31,617,1
ENGINEER,52829,4703208598107,08/32,108,0
ENGINEER,28898,639097859156,02/34,985,0
DOCTOR,37928,4721611251378436932,07/26,556,1
DOCTOR,78699,213115780217617,01/31,583,0
DOCTOR,70660,5183715229652905,12/30,944,1
DOCTOR,76408,4677299148685,03/31,452,0
ENGINEER,15341,3523276354302489,07/32,418,1
LAWYER,79500,6500796809109585,12/32,043,0
ENGINEER,20048,4586930829050,05/28,742,1
DOCTOR,83226,4408945858877,05/27,818,1
ENGINEER,29659,4801665886436479,02/30,207,1
ENGINEER,40974,3552389780215359,10/31,746,0
LAWYER,44407,561163667216,07/27,978,0
LAWYER,25236,6011822175296053,07/28,280,1
ENGINEER,52719,3513554965028905,01/32,654,0
LAWYER,93886,213197457779756,02/26,378,1
LAWYER,73613,213142642804176,12/25,359,0
LAWYER,26016,180042649646480,11/32,507,0
ENGINEER,71846,4924246468504455,01/34,575,0
LAWYER,26531,630466916685,09/34,745,0
LAWYER,30900,4132249067930814,10/29,0285,1
ENGINEER,74873,4231345917818206712,01/27,291,0
DOCTOR,84031,3570000242401416,12/29,460,1
LAWYER,45524,4494402767712485,10/25,739,0
DOCTOR,15273,6577787381717364,05/25,121,1
ENGINEER,12194,3591722000716298,05/26,293,0
LAWYER,71910,3569128243903784,01/25,724,1
ENGINEER,98117,6011787845072426,11/31,825,1
DOCTOR,48508,375773670994630,09/29,925,0
LAWYER,11817,4824081484854021950,10/25,9027,0
DOCTOR,3122,4836962143759,07/25,466,0
ENGINEER,44691,3584947014224851,09/25,995,1
ENGINEER,64809,180018503187951,09/27,936,1
DOCTOR,22792,501823978710,06/25,449,0
ENGINEER,36685,676310543589,10/25,641,1
LAWYER,77019,4215188445722644,02/27,713,0
ENGINEER,79236,377170650149848,03/28,577,0
ENGINEER,93753,4970931739399958,08/26,775,0
DOCTOR,14717,2705837494317851,09/34,108,1
LAWYER,30339,4714820579451956,02/31,879,0
ENGINEER,69251,4566629136486168,02/27,921,1
LAWYER,95783,3502567017864336,10/30,3229,1
DOCTOR,59739,3559004815497590,07/31,930,1
LAWYER,6791,6011013054771172,01/31,400,1
LAWYER,2280,4988159855107597,02/25,741,0
ENGINEER,43371,3565661274152511,12/29,263,0
ENGINEER,83604,6555068312474326,03/27,474,1
LAWYER,14705,4212323627196142,10/34,588,1
ENGINEER,96895,375015532884330,10/26,367,1
LAWYER,23533,630407902034,01/28,130,0
LAWYER,31111,676148116715,06/26,448,0
ENGINEER,85024,5584811926459184,08/30,845,1
ENGINEER,13794,4561955878917647035,12/29,568,0
ENGINEER,40836,3540762294597493,06/31,196,0
DOCTOR,92824,4422979998136436866,01/27,836,0
DOCTOR,15949,180092149822511,10/34,7877,0
LAWYER,52779,4650907688335,03/25,589,1
ENGINEER,33145,4093982727281528,06/31,869,0
ENGINEER,6322,213192006826638,10/33,810,1
DOCTOR,8614,4913110173747,03/27,710,0
LAWYER,61827,4588652150792901,05/29,287,1
DOCTOR,1054,2225680784361770,11/32,475,1
ENGINEER,90387,5455797263170243,12/24,515,0
DOCTOR,63342,676339454917,08/25,088,1
ENGINEER,82475,502032028487,06/28,246,1
LAWYER,1263,4871788524909379,02/28,4674,1
LAWYER,64989,6554964035716947,12/27,017,0
DOCTOR,54485,4838861474988,12/28,017,1
DOCTOR,68484,4635385681455614,02/28,637,0
DOCTOR,45137,4901911691682090,08/33,639,1
DOCTOR,7710,4177756796312953,07/26,357,1
LAWYER,1362,4597156232487299,12/24,072,1
LAWYER,16184,6548107548813947,03/30,347,0
LAWYER,62174,4740387597425220,09/30,862,1
DOCTOR,40610,3542894986563745,06/32,281,0
LAWYER,28396,4389175833707105,04/27,858,0
LAWYER,65509,4257522962011719,05/25,776,1
DOCTOR,30788,676345358102,05/34,790,0
LAWYER,85327,36200504895842,06/32,817,1
DOCTOR,84475,3583776057086369,06/29,770,1
ENGINEER,87250,4033415616264,03/27,7266,1
ENGINEER,16936,370499150890131,08/28,221,0
ENGINEER,12358,4747328334754111,01/26,337,1
ENGINEER,46127,213142569630802,08/34,071,1
ENGINEER,99433,4725061400638662,11/29,866,1
LAWYER,73992,3522764871450262,09/27,955,0
LAWYER,61014,3501007614098153,10/25,470,1
LAWYER,52223,3586848179070139,12/33,786,0
LAWYER,96899,6011157883768832,02/32,716,1
LAWYER,84241,3561381758091770,11/30,446,1
LAWYER,49908,3516150626574986,01/32,420,0
LAWYER,15926,6011975499909957,01/31,236,1
ENGINEER,79797,3581946770272198,08/32,234,1
ENGINEER,45475,4556907559199979572,08/29,787,0
DOCTOR,49585,370286676663948,09/25,809,1
LAWYER,65642,180059822721526,02/31,692,1
DOCTOR,55636,4790704081493027297,03/25,9069,1
DOCTOR,87900,376347963316014,08/25,476,1
ENGINEER,54093,4571129435745547539,12/33,146,0
ENGINEER,60658,3542958920063847,12/33,697,0
DOCTOR,8088,6011290650364723,01/34,600,1
ENGINEER,39934,30039614895359,12/33,117,1
ENGINEER,61448,3528439712788063,10/25,400,0
DOCTOR,18771,4940751387844957,08/29,734,0
ENGINEER,21693,6011271978511559,12/29,162,1
LAWYER,99152,4911059155063,03/28,640,0
DOCTOR,23973,4156907597704188,03/32,300,1
ENGINEER,21925,6011558599534907,02/28,425,0
DOCTOR,7288,3565998167661665,05/30,510,1
ENGINEER,80539,4743442942901719,08/31,464,1
LAWYER,65502,5554499970734128,12/24,736,0
DOCTOR,50643,213198281497433,07/32,817,1
DOCTOR,86015,5424715115862948,04/29,632,1
LAWYER,75748,373869163357012,03/26,158,1
LAWYER,46502,3585099815440564,08/33,846,1
DOCTOR,56086,3590229941240934,03/34,939,0
DOCTOR,73843,2281742296691804,12/25,476,1
ENGINEER,20261,3514683681769838,02/26,570,0
ENGINEER,1857,213151449215734,07/29,632,1
LAWYER,565,213120993889954,05/27,750,0
DOCTOR,66386,4395394624478152052,05/32,452,1
DOCTOR,27077,5485010372775637,11/29,191,1
LAWYER,34158,2272177526039360,07/33,873,0
LAWYER,28447,180031906888703,01/30,779,1
LAWYER,85216,3575287556401836,02/28,232,0
LAWYER,89825,2232524962440561,08/33,877,1
DOCTOR,55428,36731911433058,03/25,300,1
LAWYER,29684,180090022219086,11/34,024,1
LAWYER,46538,4519593192666113,04/28,517,1
ENGINEER,81260,4955614584903,08/27,541,0
LAWYER,7025,3526349867138273,05/29,312,1
DOCTOR,79041,38356570289407,09/26,727,0
DOCTOR,29959,4786847923539,07/28,920,0
ENGINEER,96639,3552356276546654,01/33,886,1
ENGINEER,78145,2296133069672770,07/28,947,0
DOCTOR,30794,4046437759437942,02/31,198,0
LAWYER,65765,4289629523609833634,05/26,250,0
LAWYER,92815,30214921927258,12/26,936,0
ENGINEER,7322,4744720087301939,03/34,305,0
LAWYER,18455,630497169569,11/29,200,0
DOCTOR,52338,4018168151445,06/29,847,0
ENGINEER,13339,213122555272330,09/32,668,0
LAWYER,87887,3522252192205722,12/27,975,0
DOCTOR,61167,4181977467664662,01/25,852,0
LAWYER,22960,36784707268899,04/30,976,1
LAWYER,86008,3557074503759942,10/30,595,0
ENGINEER,36720,4222856514190494,04/30,109,0
LAWYER,465,3557978459441190,02/34,868,0
DOCTOR,18762,577707662521,03/34,846,1
LAWYER,88401,30395369061930,06/30,269,1
ENGINEER,30592,3552850139640225,08/30,178,0
ENGINEER,93416,371839974726814,08/29,506,1
DOCTOR,84122,4903914728134356,02/31,101,0
LAWYER,51514,6011096664097161,06/32,161,0
DOCTOR,98108,4526247595499819,01/33,892,1
ENGINEER,10664,36668814216216,02/34,399,0
LAWYER,34226,588834556486,04/29,349,0
ENGINEER,6394,4906623086946932,01/34,809,1
ENGINEER,53987,4032733313956060438,03/27,965,0
ENGINEER,22580,6536293549467661,01/30,145,1
LAWYER,39764,2305578374919911,03/32,915,0
ENGINEER,64420,4769915466117738,11/30,3853,0
DOCTOR,47336,6011322400823193,03/26,682,0
ENGINEER,64661,5524372686709790,01/26,799,0
DOCTOR,46009,4358599363189946,12/29,281,0
ENGINEER,27640,30480729287902,03/34,887,0
DOCTOR,25467,4918386796097,06/28,984,0
DOCTOR,48256,4167324277944604,01/26,385,1
ENGINEER,43554,3536269463674240,03/34,8991,0
LAWYER,2039,3557895050879828,10/29,650,0
LAWYER,80125,6583933806194100,11/26,4242,0
DOCTOR,28492,6551118233050814,03/25,859,1
DOCTOR,51200,3553635464439965,09/26,314,0
LAWYER,83737,4557412732355099735,02/29,377,1
DOCTOR,58609,4572018651399588,05/34,865,0
DOCTOR,83152,4548430322097593,04/29,333,1
DOCTOR,33926,30407776586019,10/28,941,0
DOCTOR,1693,180063251490132,05/29,497,0
LAWYER,89165,6576456730364796,07/27,529,0
ENGINEER,52757,3532918996024877,02/33,300,1
LAWYER,43525,3575850338694232,03/34,4205,1
ENGINEER,71620,676330622850,03/27,303,0
DOCTOR,74381,569477734051,03/26,919,1
DOCTOR,13577,30285049475180,12/24,8661,1
ENGINEER,69555,4457725267940155,06/29,625,0
LAWYER,78690,213102063724899,09/31,702,1
LAWYER,93293,4334635624117802,10/25,360,1
LAWYER,67931,4881625183925,07/32,558,0
DOCTOR,90573,3543748357061888,10/27,155,1
LAWYER,36472,4546406916476,11/25,361,0
ENGINEER,72411,6530593229439310,05/31,226,1
LAWYER,32552,2713741912570044,03/26,405,1
DOCTOR,99449,572617969967,07/29,424,1
DOCTOR,71398,30132648399843,11/29,373,1
DOCTOR,7728,5540093460062483,08/27,052,0
LAWYER,10297,4951714428691662332,08/29,268,1
ENGINEER,80834,4966310801392,04/28,679,1
DOCTOR,12837,3515025723654637,06/32,777,0
DOCTOR,10706,4579233526664602,06/32,411,0
ENGINEER,62720,4703088363079793206,01/30,198,0
ENGINEER,73073,2271061728969007,04/32,777,1
ENGINEER,30137,213144557401600,06/30,046,1
DOCTOR,19948,630406230502,05/29,6545,1
ENGINEER,92292,3590875953146466,11/33,904,1
DOCTOR,36674,4531760967844,02/31,164,0
DOCTOR,13791,6011374670192940,07/31,099,0
ENGINEER,2997,060416515330,12/32,599,0
LAWYER,89580,345316924371101,09/27,2198,0
ENGINEER,10757,4896048405215212525,03/26,877,0
ENGINEER,49889,30512188148744,01/28,047,1
DOCTOR,75910,4410660151344487201,02/28,908,0
DOCTOR,87670,502016028131,11/28,040,1
LAWYER,97999,4778961502207,06/29,886,0
DOCTOR,36962,4019120573418446,03/25,094,0
LAWYER,39147,3506692246952888,08/34,385,1
ENGINEER,79229,503884239776,12/28,831,0
DOCTOR,32082,676283430236,04/29,352,1
ENGINEER,95944,180050843601268,01/29,636,1
LAWYER,6552,38130349707159,11/27,489,0
LAWYER,11904,6011535228435631,03/33,285,1
ENGINEER,50990,30595894322257,04/31,038,0
DOCTOR,18385,2254195320730192,02/28,336,1
DOCTOR,82401,4066027547644308385,03/28,008,1
LAWYER,76422,4793417277539903,04/29,741,1
LAWYER,7811,4531862265409527,08/30,804,0
DOCTOR,6019,2712123275720840,05/26,655,0
DOCTOR,32927,6580607510804278,11/25,576,0
ENGINEER,808,2298157434820598,05/34,043,1
ENGINEER,25254,4306952290952,05/32,2971,1
LAWYER,39287,4076765093911310,01/26,844,0
LAWYER,21358,3560853367802624,04/32,309,1
DOCTOR,41848,3530179778069729,04/34,511,1
LAWYER,53656,3575920804767471,12/33,848,1
LAWYER,68269,4376463139728655511,05/30,495,1
ENGINEER,80193,213117246256916,06/25,525,1
DOCTOR,40432,4068220929357783,04/27,592,0
LAWYER,50306,344408592618664,08/29,688,1
ENGINEER,49742,4444760576282466,04/31,7556,0
LAWYER,65784,3557640148971116,09/27,970,1
ENGINEER,97589,349476049780879,10/30,471,0
DOCTOR,45622,3589431928335587,08/25,870,0
ENGINEER,56251,4567020034020748,12/30,916,0
LAWYER,22018,30590962086413,05/32,514,0
LAWYER,47565,373343985510141,09/28,263,1
ENGINEER,60235,630468799220,09/27,446,0
DOCTOR,43920,639015856094,07/25,309,1
ENGINEER,83247,2251290685836552,02/32,128,0
ENGINEER,22433,3504949906734838,11/31,442,0
DOCTOR,23454,676351400541,11/33,145,0
ENGINEER,66280,5551045052210983,10/34,633,0
LAWYER,96000,4547315802333710,12/25,875,1
DOCTOR,28146,3569711269644208,10/27,410,1
LAWYER,74077,3545898682523967,02/32,877,0
LAWYER,33551,4269867803337319475,08/25,984,0
ENGINEER,35333,676186523087,04/26,989,0
LAWYER,78822,4864688096673867935,04/28,5689,1
ENGINEER,90987,6011518271724408,02/34,143,0
ENGINEER,46344,2266013789240031,12/31,8586,0
LAWYER,32178,4344345523896,06/29,679,0
LAWYER,7792,180040904551072,12/24,813,0
DOCTOR,99754,4864907721810,09/34,524,1
ENGINEER,99612,3593396106778284,07/34,555,0
LAWYER,45267,180079664591944,03/27,853,1
DOCTOR,15170,4327515815978,04/31,928,0
ENGINEER,51970,340815332195742,10/31,789,0
DOCTOR,32644,377267667485593,06/25,357,0
DOCTOR,99858,675999376402,09/27,245,0
ENGINEER,19105,4912830827826040,03/25,228,0
ENGINEER,5220,4087601207680274492,12/28,260,1
DOCTOR,2533,5377659043438339,08/30,175,0
ENGINEER,91057,344696750642472,11/24,772,1
LAWYER,17671,4758586543865970,02/31,455,0
ENGINEER,6356,375625824166178,08/27,465,0
ENGINEER,84128,5141160017150013,04/33,421,0
LAWYER,84601,4785676028098366,01/34,731,0
LAWYER,45306,4875422080409,07/27,815,1
LAWYER,32538,4623850400214,07/30,250,1
DOCTOR,63941,4537369847712455,04/26,996,1
ENGINEER,10522,2414636165626471,04/26,630,1
ENGINEER,45508,4045660568418016,12/32,026,1
ENGINEER,31232,580634187307,10/32,463,1
LAWYER,82564,3564561383212894,02/32,251,1
ENGINEER,37343,3593438461888934,09/32,9953,0
DOCTOR,96305,4074581661264384,08/30,735,0
DOCTOR,18797,373211098157276,02/25,175,1
LAWYER,19154,4200631129354870020,03/34,583,1
DOCTOR,94167,213161184764218,01/29,249,0
LAWYER,88642,3575693592920269,06/30,875,0
LAWYER,15114,4026830519116174,08/33,676,0
ENGINEER,30921,6011375747706588,03/26,472,0
LAWYER,63051,30034458607788,05/25,142,1
ENGINEER,84417,4426900320337,08/26,914,1
ENGINEER,4372,6011292604406790,06/28,379,0
DOCTOR,25339,180097072828534,06/34,416,0
ENGINEER,69683,4337068910034043,04/31,519,1
ENGINEER,71638,2299934567484585,08/25,009,0
ENGINEER,90147,3568383340850146,05/31,609,1
DOCTOR,54825,348644263390367,02/33,104,0
ENGINEER,80411,3504066488582376,02/30,458,0
LAWYER,51741,3551230899940332,12/25,101,0
DOCTOR,44947,501890199331,11/34,101,0
ENGINEER,66864,30297829448733,02/28,395,0
ENGINEER,39775,4657487172584861,09/28,498,0
LAWYER,82103,676114472324,01/29,324,1
LAWYER,48099,2227496083774961,06/31,815,0
ENGINEER,68598,4191703565135449,12/27,683,1
DOCTOR,20342,4277739565620475616,01/30,8085,1
LAWYER,63891,4186429119326246174,12/25,431,1
LAWYER,50472,372917658621367,09/31,049,1
LAWYER,60794,377513641556193,10/26,644,0
LAWYER,80444,4513151781828,05/28,562,0
ENGINEER,3813,213159454006534,01/31,861,1
DOCTOR,99145,3586321290438817,10/29,334,0
ENGINEER,58239,4514316014994546,07/33,698,0
ENGINEER,55755,2238931352694786,07/31,029,1
DOCTOR,5534,3511802619492379,11/31,023,0
LAWYER,27485,180083253182727,04/34,759,0
DOCTOR,58945,371709501555434,04/31,227,1
DOCTOR,32830,676329775826,01/28,529,0
LAWYER,80845,675975871822,07/25,046,1
LAWYER,94295,3524239940127587,01/27,467,1
ENGINEER,67860,372277792942801,10/28,224,0
