Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
DOCTOR,15062,4299342860517422,12/29,908,1
LAWYER,43099,3573492402161616,04/33,867,1
LAWYER,13764,6528310552888763,06/28,385,1
LAWYER,69934,2720456296310047,11/28,221,1
DOCTOR,61112,3554958282893877,06/25,876,1
DOCTOR,63591,4843094547657433,07/32,9043,1
LAWYER,99728,5170516895788139,07/26,694,1
DOCTOR,83792,4297548277878,06/27,676,1
DOCTOR,64905,3512873687795570,10/28,747,1
ENGINEER,93862,568750525079,10/34,318,1
DOCTOR,50674,4176583855826876,12/26,179,1
LAWYER,51020,5330762795677223,09/27,843,1
LAWYER,98581,4326636204962424235,08/25,677,1
DOCTOR,83211,4618189817763754616,11/27,844,1
DOCTOR,98905,4808340961012,12/30,822,1
DOCTOR,15850,343257262760731,09/29,676,1
ENGINEER,87271,6507961716165020,12/30,631,1
ENGINEER,85199,4521587249682,07/30,205,1
DOCTOR,61090,4606235827334,01/25,73,1
ENGINEER,55965,4856569030043,07/34,149,1
ENGINEER,75254,342742397480819,07/27,916,1
ENGINEER,7844,503881065232,12/24,989,1
ENGINEER,306,4369014560581264,01/31,712,1
LAWYER,15229,180081349692212,07/34,894,1
LAWYER,25463,2249906852340244,02/32,773,1
ENGINEER,57036,375253164610273,03/27,14,1
LAWYER,42515,3563367205300201,10/31,153,1
DOCTOR,56498,213126173192663,10/31,825,1
ENGINEER,11497,6011011040320302,10/29,534,1
DOCTOR,32427,6011097023993884,11/26,129,1
ENGINEER,1317,3570549712269976,11/33,399,1
ENGINEER,82829,38923628734500,07/31,140,1
LAWYER,75507,180041945729156,09/31,355,1
DOCTOR,81227,30431588803214,06/34,630,1
LAWYER,99114,4560010714144,02/29,948,1
ENGINEER,26615,180052192972316,10/25,3551,1
ENGINEER,57654,3514038248129630,09/29,522,1
LAWYER,39317,4793425876295,04/31,219,1
ENGINEER,17880,676170498270,04/34,305,1
ENGINEER,53144,4893356222952820,11/28,221,1
ENGINEER,13168,4275226738536,12/32,159,1
LAWYER,82799,4660717910716562336,01/29,545,1
ENGINEER,28670,4575763340441401,04/31,57,1
DOCTOR,10306,375826908868909,07/33,818,1
DOCTOR,54591,3517200418802340,12/29,908,1
ENGINEER,88193,180064162026379,09/34,520,1
ENGINEER,8830,4017706117686,01/33,585,1
DOCTOR,24130,3574362370777546,04/31,312,1
LAWYER,13829,213175334335653,10/30,128,1
ENGINEER,85465,6591717438546914,05/34,179,1
ENGINEER,31742,348300201716953,10/25,232,1
DOCTOR,38551,3522946937237060,10/26,170,1
ENGINEER,73154,5335462944872602,01/34,499,1
ENGINEER,68569,4162390752678038603,12/33,461,1
DOCTOR,22065,4755588232585276,11/24,778,1
DOCTOR,8873,6011041999486804,05/32,661,1
DOCTOR,79335,30181331770851,10/26,230,1
LAWYER,85154,213158337457930,11/31,617,1
DOCTOR,37928,4721611251378436932,07/26,556,1
DOCTOR,70660,5183715229652905,12/30,944,1
ENGINEER,15341,3523276354302489,07/32,418,1
ENGINEER,20048,4586930829050,05/28,742,1
DOCTOR,83226,4408945858877,05/27,818,1
ENGINEER,29659,4801665886436479,02/30,207,1
LAWYER,25236,6011822175296053,07/28,280,1
LAWYER,93886,213197457779756,02/26,378,1
LAWYER,30900,4132249067930814,10/29,285,1
DOCTOR,84031,3570000242401416,12/29,460,1
DOCTOR,15273,6577787381717364,05/25,121,1
LAWYER,71910,3569128243903784,01/25,724,1
ENGINEER,98117,6011787845072426,11/31,825,1
ENGINEER,44691,3584947014224851,09/25,995,1
ENGINEER,64809,180018503187951,09/27,936,1
ENGINEER,36685,676310543589,10/25,641,1
DOCTOR,14717,2705837494317851,09/34,108,1
ENGINEER,69251,4566629136486168,02/27,921,1
LAWYER,95783,3502567017864336,10/30,3229,1
DOCTOR,59739,3559004815497590,07/31,930,1
LAWYER,6791,6011013054771172,01/31,400,1
ENGINEER,83604,6555068312474326,03/27,474,1
LAWYER,14705,4212323627196142,10/34,588,1
ENGINEER,96895,375015532884330,10/26,367,1
ENGINEER,85024,5584811926459184,08/30,845,1
LAWYER,52779,4650907688335,03/25,589,1
ENGINEER,6322,213192006826638,10/33,810,1
LAWYER,61827,4588652150792901,05/29,287,1
DOCTOR,1054,2225680784361770,11/32,475,1
DOCTOR,63342,676339454917,08/25,88,1
ENGINEER,82475,502032028487,06/28,246,1
LAWYER,1263,4871788524909379,02/28,4674,1
DOCTOR,54485,4838861474988,12/28,17,1
DOCTOR,45137,4901911691682090,08/33,639,1
DOCTOR,7710,4177756796312953,07/26,357,1
LAWYER,1362,4597156232487299,12/24,72,1
LAWYER,62174,4740387597425220,09/30,862,1
LAWYER,65509,4257522962011719,05/25,776,1
LAWYER,85327,36200504895842,06/32,817,1
DOCTOR,84475,3583776057086369,06/29,770,1
ENGINEER,87250,4033415616264,03/27,7266,1
ENGINEER,12358,4747328334754111,01/26,337,1
ENGINEER,46127,213142569630802,08/34,71,1
ENGINEER,99433,4725061400638662,11/29,866,1
LAWYER,61014,3501007614098153,10/25,470,1
LAWYER,96899,6011157883768832,02/32,716,1
LAWYER,84241,3561381758091770,11/30,446,1
LAWYER,15926,6011975499909957,01/31,236,1
ENGINEER,79797,3581946770272198,08/32,234,1
DOCTOR,49585,370286676663948,09/25,809,1
LAWYER,65642,180059822721526,02/31,692,1
DOCTOR,55636,4790704081493027297,03/25,9069,1
DOCTOR,87900,376347963316014,08/25,476,1
DOCTOR,8088,6011290650364723,01/34,600,1
ENGINEER,39934,30039614895359,12/33,117,1
ENGINEER,21693,6011271978511559,12/29,162,1
DOCTOR,23973,4156907597704188,03/32,300,1
DOCTOR,7288,3565998167661665,05/30,510,1
ENGINEER,80539,4743442942901719,08/31,464,1
DOCTOR,50643,213198281497433,07/32,817,1
DOCTOR,86015,5424715115862948,04/29,632,1
LAWYER,75748,373869163357012,03/26,158,1
LAWYER,46502,3585099815440564,08/33,846,1
DOCTOR,73843,2281742296691804,12/25,476,1
ENGINEER,1857,213151449215734,07/29,632,1
DOCTOR,66386,4395394624478152052,05/32,452,1
DOCTOR,27077,5485010372775637,11/29,191,1
LAWYER,28447,180031906888703,01/30,779,1
LAWYER,89825,2232524962440561,08/33,877,1
DOCTOR,55428,36731911433058,03/25,300,1
LAWYER,29684,180090022219086,11/34,24,1
LAWYER,46538,4519593192666113,04/28,517,1
LAWYER,7025,3526349867138273,05/29,312,1
ENGINEER,96639,3552356276546654,01/33,886,1
LAWYER,22960,36784707268899,04/30,976,1
DOCTOR,18762,577707662521,03/34,846,1
LAWYER,88401,30395369061930,06/30,269,1
ENGINEER,93416,371839974726814,08/29,506,1
DOCTOR,98108,4526247595499819,01/33,892,1
ENGINEER,6394,4906623086946932,01/34,809,1
ENGINEER,22580,6536293549467661,01/30,145,1
DOCTOR,48256,4167324277944604,01/26,385,1
DOCTOR,28492,6551118233050814,03/25,859,1
LAWYER,83737,4557412732355099735,02/29,377,1
DOCTOR,83152,4548430322097593,04/29,333,1
ENGINEER,52757,3532918996024877,02/33,300,1
LAWYER,43525,3575850338694232,03/34,4205,1
DOCTOR,74381,569477734051,03/26,919,1
DOCTOR,13577,30285049475180,12/24,8661,1
LAWYER,78690,213102063724899,09/31,702,1
LAWYER,93293,4334635624117802,10/25,360,1
DOCTOR,90573,3543748357061888,10/27,155,1
ENGINEER,72411,6530593229439310,05/31,226,1
LAWYER,32552,2713741912570044,03/26,405,1
DOCTOR,99449,572617969967,07/29,424,1
DOCTOR,71398,30132648399843,11/29,373,1
LAWYER,10297,4951714428691662332,08/29,268,1
ENGINEER,80834,4966310801392,04/28,679,1
ENGINEER,73073,2271061728969007,04/32,777,1
ENGINEER,30137,213144557401600,06/30,46,1
DOCTOR,19948,630406230502,05/29,6545,1
ENGINEER,92292,3590875953146466,11/33,904,1
ENGINEER,49889,30512188148744,01/28,47,1
DOCTOR,87670,502016028131,11/28,40,1
LAWYER,39147,3506692246952888,08/34,385,1
DOCTOR,32082,676283430236,04/29,352,1
ENGINEER,95944,180050843601268,01/29,636,1
LAWYER,11904,6011535228435631,03/33,285,1
DOCTOR,18385,2254195320730192,02/28,336,1
DOCTOR,82401,4066027547644308385,03/28,8,1
LAWYER,76422,4793417277539903,04/29,741,1
ENGINEER,808,2298157434820598,05/34,43,1
ENGINEER,25254,4306952290952,05/32,2971,1
LAWYER,21358,3560853367802624,04/32,309,1
DOCTOR,41848,3530179778069729,04/34,511,1
LAWYER,53656,3575920804767471,12/33,848,1
LAWYER,68269,4376463139728655511,05/30,495,1
ENGINEER,80193,213117246256916,06/25,525,1
LAWYER,50306,344408592618664,08/29,688,1
LAWYER,65784,3557640148971116,09/27,970,1
LAWYER,47565,373343985510141,09/28,263,1
DOCTOR,43920,639015856094,07/25,309,1
LAWYER,96000,4547315802333710,12/25,875,1
DOCTOR,28146,3569711269644208,10/27,410,1
LAWYER,78822,4864688096673867935,04/28,5689,1
DOCTOR,99754,4864907721810,09/34,524,1
LAWYER,45267,180079664591944,03/27,853,1
ENGINEER,5220,4087601207680274492,12/28,260,1
ENGINEER,91057,344696750642472,11/24,772,1
LAWYER,45306,4875422080409,07/27,815,1
LAWYER,32538,4623850400214,07/30,250,1
DOCTOR,63941,4537369847712455,04/26,996,1
ENGINEER,10522,2414636165626471,04/26,630,1
ENGINEER,45508,4045660568418016,12/32,26,1
ENGINEER,31232,580634187307,10/32,463,1
LAWYER,82564,3564561383212894,02/32,251,1
DOCTOR,18797,373211098157276,02/25,175,1
LAWYER,19154,4200631129354870020,03/34,583,1
LAWYER,63051,30034458607788,05/25,142,1
ENGINEER,84417,4426900320337,08/26,914,1
ENGINEER,69683,4337068910034043,04/31,519,1
ENGINEER,90147,3568383340850146,05/31,609,1
LAWYER,82103,676114472324,01/29,324,1
ENGINEER,68598,4191703565135449,12/27,683,1
DOCTOR,20342,4277739565620475616,01/30,8085,1
LAWYER,63891,4186429119326246174,12/25,431,1
LAWYER,50472,372917658621367,09/31,49,1
ENGINEER,3813,213159454006534,01/31,861,1
ENGINEER,55755,2238931352694786,07/31,29,1
DOCTOR,58945,371709501555434,04/31,227,1
LAWYER,80845,675975871822,07/25,46,1
LAWYER,94295,3524239940127587,01/27,467,1
LAWYER,93577,2696805120235723,08/31,984,1
ENGINEER,47367,6011641361043131,09/29,888,1
ENGINEER,1224,4428666185255878,09/26,913,1
DOCTOR,93355,3551541560184996,06/25,522,1
ENGINEER,46886,3513459506466657,08/32,4548,1
ENGINEER,2620,6011086919430515,08/32,722,1
DOCTOR,37278,503859342415,12/31,5879,1
ENGINEER,97339,4387145737410579,05/25,102,1
DOCTOR,12794,349823197076370,10/29,756,1
DOCTOR,40550,3548335541097013,06/34,177,1
LAWYER,43861,4495885027628434517,03/26,614,1
LAWYER,70049,6011546556000475,11/26,551,1
LAWYER,47244,213194356357875,12/28,449,1
DOCTOR,52852,630416620775,09/27,901,1
LAWYER,52926,4169526495122114,03/33,493,1
LAWYER,20813,180063957464290,04/30,4622,1
LAWYER,87267,3534795420638375,08/30,742,1
ENGINEER,95211,213152005828126,09/32,928,1
LAWYER,2913,501835569945,05/34,66,1
DOCTOR,20245,4773178183644,01/31,978,1
LAWYER,64501,6011056701127884,04/33,957,1
DOCTOR,94552,370150307927686,01/27,226,1
DOCTOR,71724,180022305147619,09/34,638,1
ENGINEER,17203,4555110866624834,05/31,789,1
LAWYER,31885,4902290678346881,05/34,386,1
DOCTOR,91653,4477143057780136,12/24,398,1
ENGINEER,7288,6554479440523143,10/28,835,1
LAWYER,21941,4711007147042293977,08/32,540,1
DOCTOR,63611,4428959577573994,06/28,1922,1
DOCTOR,96209,4058478879431311,10/33,718,1
LAWYER,62346,4489785311440448,01/29,633,1
LAWYER,97303,3588276584792568,03/30,320,1
LAWYER,68850,4522912955670432,04/34,445,1
DOCTOR,43754,6011491386948389,03/28,834,1
DOCTOR,39140,6555405625668352,03/25,183,1
ENGINEER,8118,3562962218130925,03/30,813,1
DOCTOR,29404,6556052142696935,10/27,813,1
ENGINEER,2947,5498460296678646,11/24,738,1
LAWYER,88099,213164051153820,11/30,557,1
ENGINEER,43028,576528485609,01/28,2046,1
ENGINEER,67033,5282415050466380,11/29,10,1
LAWYER,38692,4597336182358498,06/29,784,1
LAWYER,81144,4576567367625161,12/33,112,1
LAWYER,51655,3585896817702135,04/34,651,1
DOCTOR,51979,4593439457455559511,05/31,392,1
LAWYER,60407,4464573693669316,08/29,804,1
DOCTOR,75983,4350584710771,10/27,592,1
ENGINEER,80924,30195523583682,11/31,574,1
DOCTOR,35057,3590881669119771,08/31,4626,1
ENGINEER,72099,676282674099,03/31,867,1
LAWYER,99912,3598657750109109,10/29,355,1
DOCTOR,21892,6568093315254223,04/26,218,1
ENGINEER,21451,6564920687660708,05/29,50,1
DOCTOR,22673,3549647596931915,08/32,295,1
LAWYER,26598,2720072641554211,06/27,436,1
ENGINEER,85642,38554712712167,11/24,732,1
ENGINEER,47520,4137321221038456,12/29,383,1
DOCTOR,542,4322410064163441,11/32,32,1
DOCTOR,77587,6549260588704200,09/25,674,1
ENGINEER,55248,30038127311854,01/26,56,1
ENGINEER,87676,4675488360721818,02/31,835,1
ENGINEER,59098,38550873132666,06/34,820,1
LAWYER,28601,4378687567791470,10/27,20,1
ENGINEER,84316,30034573800029,04/30,1,1
LAWYER,10899,4135564628716073,01/26,1,1
LAWYER,6242,213170518265438,12/30,831,1
LAWYER,66963,3543319167792466,05/25,607,1
DOCTOR,67105,4747810033986763,06/32,678,1
DOCTOR,45459,6540496364363881,10/27,139,1
ENGINEER,36974,6011839163806180,11/24,536,1
DOCTOR,15353,213195926583627,06/32,495,1
LAWYER,26295,3574334038080373,07/27,406,1
DOCTOR,97892,4050379781519490,03/26,985,1
ENGINEER,43777,4666975875430,02/30,235,1
DOCTOR,49134,502087273608,12/25,306,1
LAWYER,88849,213145867019529,10/27,958,1
ENGINEER,88706,213106648793089,03/26,904,1
ENGINEER,48560,4788038719129140,07/29,417,1
LAWYER,80525,180045883158518,03/30,132,1
LAWYER,27227,346156946663617,11/29,283,1
DOCTOR,67764,3534329753381435,08/30,291,1
DOCTOR,90176,675959933390,09/26,267,1
DOCTOR,10813,3552788499848956,04/29,844,1
LAWYER,56189,3539152195607612,08/27,884,1
LAWYER,44192,3567639646171292,01/32,233,1
DOCTOR,99575,3528532321945924,07/31,674,1
LAWYER,86389,4510770088219996,02/32,821,1
ENGINEER,93218,4180641554278772808,09/25,353,1
LAWYER,66352,501895665310,11/24,926,1
ENGINEER,17611,6011100571763673,06/28,472,1
LAWYER,35127,30024751480595,07/26,887,1
DOCTOR,11839,3543472717372287,12/30,900,1
DOCTOR,18807,370156414381915,07/31,476,1
LAWYER,2298,6516648717971733,09/27,36,1
DOCTOR,54469,4018423967091212,08/27,412,1
ENGINEER,17969,4574867819834573,09/26,798,1
ENGINEER,81113,3553485180092924,07/34,0,1
LAWYER,74410,4243801808974414,08/32,685,1
DOCTOR,12258,180011297549700,04/25,341,1
ENGINEER,89658,2243604193456573,10/29,592,1
LAWYER,86849,4228790308200819,03/29,768,1
DOCTOR,33245,6502618656148862,01/29,253,1
DOCTOR,72914,3563195195838025,11/32,107,1
DOCTOR,55129,503878541666,09/26,8222,1
LAWYER,77287,3536847861279025,01/31,55,1
LAWYER,72105,676389072270,04/32,568,1
ENGINEER,2071,180033095210988,10/28,413,1
DOCTOR,98337,4173021862087599,02/26,320,1
LAWYER,55446,3599357124108395,03/33,42,1
ENGINEER,80558,180049640979265,06/31,827,1
ENGINEER,11681,630475450619,01/29,37,1
ENGINEER,48873,180099258269152,08/29,345,1
DOCTOR,44405,3557889258854030,09/28,212,1
DOCTOR,62757,4135114746483444,04/32,469,1
DOCTOR,6007,372619029353783,08/33,496,1
DOCTOR,82186,2716042457768219,02/33,272,1
LAWYER,82160,6011100932090386,01/25,202,1
LAWYER,65977,6544279597315308,03/27,660,1
ENGINEER,29387,213136478544294,05/31,742,1
DOCTOR,52094,3548598139664896,09/33,605,1
DOCTOR,78018,4051195078662820,02/30,382,1
DOCTOR,60947,371944397885260,10/25,767,1
LAWYER,49059,6570715756563169,07/30,949,1
ENGINEER,36318,60452344009,12/32,717,1
LAWYER,31683,373906704974283,10/25,669,1
ENGINEER,83911,4847886851353178,12/29,851,1
ENGINEER,227,3580139853711115,08/32,34,1
DOCTOR,68818,213113907468379,03/25,707,1
LAWYER,90635,4330274049177987,03/32,147,1
DOCTOR,34222,4798868867073,09/33,582,1
ENGINEER,35156,6011029824738945,02/30,819,1
ENGINEER,38856,4049318386130059,12/32,8359,1
ENGINEER,51690,4246609944794654,01/34,159,1
LAWYER,77312,377654759387813,10/26,963,1
LAWYER,76159,4579598440219281,03/26,690,1
DOCTOR,24813,4237795442232593,07/33,680,1
ENGINEER,48701,3557873254027338,12/28,373,1
DOCTOR,37631,4854742660489,04/29,668,1
ENGINEER,1,2462987691734078,11/31,733,1
LAWYER,87416,180005344636874,07/28,504,1
ENGINEER,94419,341342729223432,12/28,335,1
DOCTOR,36588,6011823935546035,08/32,143,1
DOCTOR,34373,6501326341481984,04/27,91,1
LAWYER,85519,3598547076107152,11/32,476,1
DOCTOR,88694,30288856372193,10/34,847,1
LAWYER,94096,346063722439172,06/25,748,1
ENGINEER,56385,3506692425361216,09/34,768,1
ENGINEER,23181,30287608580160,08/25,64,1
LAWYER,30067,4299092375686,10/29,221,1
ENGINEER,92705,3585735236516272,12/27,6908,1
LAWYER,92812,6011082323473761,04/34,4487,1
ENGINEER,26733,4616019999769269474,12/26,535,1
ENGINEER,27810,3552083318380195,06/32,218,1
LAWYER,23366,2279230624384981,05/31,492,1
ENGINEER,69484,2226058481401844,05/26,628,1
LAWYER,17970,4534867767583429,06/30,95,1
LAWYER,69418,502054166728,06/29,563,1
DOCTOR,61988,2704612943890480,03/30,381,1
DOCTOR,70024,4780729921958915324,10/30,822,1
LAWYER,64189,370991929975953,10/25,3441,1
DOCTOR,11296,30495146535774,01/32,471,1
ENGINEER,5548,3515966137087205,02/33,244,1
LAWYER,45182,4940515888696566,11/32,259,1
ENGINEER,7974,180057440577627,05/29,839,1
DOCTOR,61386,4792511246951699684,12/29,82,1
ENGINEER,31799,180082252297239,04/27,684,1
DOCTOR,35732,4321010227649,10/30,578,1
ENGINEER,44369,213162450322426,07/28,265,1
ENGINEER,62784,573747421747,04/25,183,1
DOCTOR,56163,2240058300090457,08/28,500,1
LAWYER,30528,2691488688687570,08/29,15,1
DOCTOR,84256,2346657888864861,07/30,651,1
LAWYER,86814,4125239935084,12/32,833,1
ENGINEER,92049,3563356976632215,08/30,2364,1
ENGINEER,10245,30479061817961,02/33,432,1
LAWYER,19252,4839946476783751,12/27,261,1
DOCTOR,40553,4428579647073570747,07/25,328,1
ENGINEER,2015,3512138105077450,03/32,102,1
DOCTOR,73097,4106891269405913,06/28,476,1
DOCTOR,61112,4741068707134376593,01/27,809,1
ENGINEER,98230,213103461080868,09/34,276,1
DOCTOR,30153,676374773023,11/27,170,1
LAWYER,8440,6011955585385411,09/34,183,1
LAWYER,26186,4489736316857148953,01/25,139,1
LAWYER,12306,30178461133447,04/26,852,1
DOCTOR,99065,3584578327275098,01/33,897,1
ENGINEER,53940,3518258220076593,06/29,356,1
DOCTOR,94209,4517380333255473,03/27,820,1
LAWYER,9997,4867459099816,04/30,986,1
LAWYER,27292,4665948012133074506,09/25,750,1
ENGINEER,83290,4218344052552058,06/32,329,1
DOCTOR,11759,30358126834510,01/26,405,1
DOCTOR,60492,639041476552,10/26,480,1
DOCTOR,58193,4543041570622858148,11/28,87,1
DOCTOR,51094,6011143345459608,01/28,892,1
LAWYER,26346,30456584805194,06/30,119,1
DOCTOR,40937,180039925080913,10/34,173,1
DOCTOR,1224,4476470652780156706,04/34,13,1
LAWYER,17782,341047705839537,12/33,993,1
DOCTOR,24035,3584118500866411,10/31,366,1
DOCTOR,24132,348709686192250,01/31,14,1
DOCTOR,86204,348075915553468,04/29,825,1
DOCTOR,40590,3529097685621536,03/25,114,1
ENGINEER,24041,213193087678393,08/32,672,1
DOCTOR,67944,4095241675830989343,07/34,679,1
LAWYER,84709,2408333724814446,12/33,736,1
ENGINEER,18454,4443758846665123,08/31,122,1
DOCTOR,79052,3521961292799340,04/34,76,1
DOCTOR,26255,4408425384695150,09/29,170,1
DOCTOR,44276,4246289548070,06/31,845,1
ENGINEER,81953,4538175600030269,05/28,985,1
DOCTOR,21174,2522636651062941,03/30,365,1
ENGINEER,50855,6011382067993762,02/33,884,1
DOCTOR,71777,4435043862308837,01/28,362,1
LAWYER,55672,30338964983157,06/26,849,1
LAWYER,79652,2720865779629253,03/30,58,1
DOCTOR,90793,3507238810466084,09/31,688,1
DOCTOR,75746,4685553985585472,01/27,988,1
ENGINEER,36008,30057217786833,04/28,134,1
DOCTOR,71963,4139296426168,05/30,876,1
DOCTOR,57090,3579380067714130,02/29,870,1
DOCTOR,89643,213144495833674,08/34,564,1
ENGINEER,67667,30485466402739,08/26,184,1
LAWYER,58475,378914175388467,03/34,106,1
DOCTOR,60305,347742873279425,08/30,717,1
DOCTOR,84902,4914785294721918454,05/33,898,1
DOCTOR,8091,180041236719940,12/33,388,1
ENGINEER,6148,3534043162363880,09/31,53,1
DOCTOR,61151,3588593731302830,12/31,686,1
LAWYER,60579,4494243469591458,07/27,354,1
ENGINEER,15839,4011897299168246095,06/30,928,1
LAWYER,74317,370723280799833,06/28,645,1
LAWYER,19563,3569574840479803,09/33,395,1
ENGINEER,72113,564492058313,02/31,618,1
LAWYER,44841,5394562666719689,03/25,840,1
DOCTOR,32104,349846566558231,06/26,2731,1
DOCTOR,49604,4024887615278904,07/30,978,1
LAWYER,58606,4393124699930,10/33,11,1
DOCTOR,42420,30436439923889,01/34,953,1
DOCTOR,96128,349131768434832,08/29,605,1
DOCTOR,83075,30158702208976,10/29,576,1
DOCTOR,32420,6011595328572196,04/33,656,1
DOCTOR,92716,4413465018651990,12/33,764,1
DOCTOR,26290,3528065233554229,08/25,2226,1
ENGINEER,73700,4326993895924,11/25,9,1
LAWYER,56180,3536214906027135,02/32,998,1
ENGINEER,27266,501881591793,03/31,24,1
DOCTOR,23719,676157280188,07/31,395,1
LAWYER,54009,3537100747165904,01/30,851,1
LAWYER,12337,587417549108,01/34,265,1
DOCTOR,41146,2225098487399478,08/34,3142,1
LAWYER,48834,4688795543595280,06/26,1,1
ENGINEER,30512,676258193892,06/33,688,1
ENGINEER,47006,6011600525935368,09/31,272,1
ENGINEER,6491,501843878692,05/30,600,1
LAWYER,4401,3534257949255181,05/30,593,1
ENGINEER,14385,30082696519794,04/31,8868,1
DOCTOR,19229,4936716513132062447,02/28,565,1
ENGINEER,80988,30461083534998,12/27,56,1
DOCTOR,45763,3561828060648663,07/33,111,1
ENGINEER,55462,30480241608544,02/27,893,1
DOCTOR,81307,213139057521295,12/29,600,1
DOCTOR,577,4916825573267,06/28,48,1
DOCTOR,27030,370132064185773,12/32,968,1
LAWYER,24042,4215224453482590883,10/25,890,1
ENGINEER,75027,3546124998117934,05/26,998,1
LAWYER,74378,503804221144,06/25,459,1
DOCTOR,24018,4601502056317105647,07/26,848,1
DOCTOR,38261,180065739292683,11/28,16,1
LAWYER,61302,3523208029048692,03/31,748,1
LAWYER,32410,213177641716468,08/26,935,1
DOCTOR,29541,372602799630671,09/25,250,1
DOCTOR,26161,4920384222640651262,02/30,407,1
LAWYER,45890,4878887761933903,11/34,509,1
LAWYER,28697,4751367536707227488,06/28,893,1
DOCTOR,54575,4911758412643015964,12/28,366,1
LAWYER,98568,4181187578483,09/30,954,1
DOCTOR,29677,4611054652777960793,03/28,880,1
LAWYER,20603,6011692352928954,10/30,252,1
DOCTOR,245,5359190232944814,01/28,388,1
DOCTOR,40113,3580211143143357,04/28,8,1
DOCTOR,29540,372513884128838,07/26,484,1
ENGINEER,75245,3506333380408128,10/28,797,1
ENGINEER,93974,36152775728139,03/28,928,1
ENGINEER,1399,3522456358402862,10/28,939,1
DOCTOR,29157,4519595181579702,08/33,665,1
ENGINEER,65610,3538393495142253,08/28,406,1
DOCTOR,22711,3529805916409129,07/25,956,1
DOCTOR,74920,3553702397442522,01/33,8074,1
LAWYER,13137,180084729653622,04/27,9176,1
LAWYER,46452,3544034965211580,05/25,320,1
